variable_name	data_type
CD107aMFIConvCD8T	NASAL CELL IMMUNOPHENOTYPING
PD1MFIConvCD8T	NASAL CELL IMMUNOPHENOTYPING
HLADRMFIConvCD8T	NASAL CELL IMMUNOPHENOTYPING
MAITNumber	NASAL CELL IMMUNOPHENOTYPING
CD107aMFIMAIT	NASAL CELL IMMUNOPHENOTYPING
PD1MFIMAIT	NASAL CELL IMMUNOPHENOTYPING
HLADRMFIMAIT	NASAL CELL IMMUNOPHENOTYPING
LinNegCD16PosNumber	NASAL CELL IMMUNOPHENOTYPING
CD4TNumber	NASAL CELL IMMUNOPHENOTYPING
CD107aMFICD4T	NASAL CELL IMMUNOPHENOTYPING
PD1MFICD4T	NASAL CELL IMMUNOPHENOTYPING
HLADRMFICD4T	NASAL CELL IMMUNOPHENOTYPING
DNTNumber	NASAL CELL IMMUNOPHENOTYPING
CD107aMFIDNT	NASAL CELL IMMUNOPHENOTYPING
PD1MFIDNT	NASAL CELL IMMUNOPHENOTYPING
HLADRMFIDNT	NASAL CELL IMMUNOPHENOTYPING
NKNumber	NASAL CELL IMMUNOPHENOTYPING
LinNegNumber	NASAL CELL IMMUNOPHENOTYPING
LinNegCD4PosDRPosNumber	NASAL CELL IMMUNOPHENOTYPING
LinNegCD4NegDRPosNumber	NASAL CELL IMMUNOPHENOTYPING
Tnumber	NASAL CELL IMMUNOPHENOTYPING
CD107aMFIT	NASAL CELL IMMUNOPHENOTYPING
PD1MFIT	NASAL CELL IMMUNOPHENOTYPING
HLADRMFIT	NASAL CELL IMMUNOPHENOTYPING
CD107aPosDRPosTNumber	NASAL CELL IMMUNOPHENOTYPING
CD107aPosDRNegTNumber	NASAL CELL IMMUNOPHENOTYPING
CD107aNegDRPosTNumber	NASAL CELL IMMUNOPHENOTYPING
CD107aNegDRNegTNumber	NASAL CELL IMMUNOPHENOTYPING
CD14Number	NASAL CELL IMMUNOPHENOTYPING
MonocyteNumber	NASAL CELL IMMUNOPHENOTYPING
CD16MFIMono	NASAL CELL IMMUNOPHENOTYPING
HLADRMFIMono	NASAL CELL IMMUNOPHENOTYPING
CD14MFIMono	NASAL CELL IMMUNOPHENOTYPING
ViableCellPerc	NASAL CELL IMMUNOPHENOTYPING
GranPercOfImmune	NASAL CELL IMMUNOPHENOTYPING
EosinophilPercOfImmune	NASAL CELL IMMUNOPHENOTYPING
EosinoPercOfGran	NASAL CELL IMMUNOPHENOTYPING
TPercOfImmune	NASAL CELL IMMUNOPHENOTYPING
CD4TPercOfImmune	NASAL CELL IMMUNOPHENOTYPING
CD8TPercOfImmune	NASAL CELL IMMUNOPHENOTYPING
MAITPercOfImmune	NASAL CELL IMMUNOPHENOTYPING
MonoPercOfImmune	NASAL CELL IMMUNOPHENOTYPING
LinNegCD4NegDRPosPercOfImmune	NASAL CELL IMMUNOPHENOTYPING
LinNegCD4PosDRPosPercOfImmune	NASAL CELL IMMUNOPHENOTYPING
CD4PosPercOfT	NASAL CELL IMMUNOPHENOTYPING
CD8PosPercOfT	NASAL CELL IMMUNOPHENOTYPING
MAITPercOfT	NASAL CELL IMMUNOPHENOTYPING
DNPercOfT	NASAL CELL IMMUNOPHENOTYPING
NeutroPercOfImmune	NASAL CELL IMMUNOPHENOTYPING
HLADRPosPercOfT	NASAL CELL IMMUNOPHENOTYPING
CD107aPosPercOfT	NASAL CELL IMMUNOPHENOTYPING
HLADRPosPercOfNeutro	NASAL CELL IMMUNOPHENOTYPING
CD107aPosPercOfNeutro	NASAL CELL IMMUNOPHENOTYPING
ImmuneEpRatio	NASAL CELL IMMUNOPHENOTYPING
GranEpRatio	NASAL CELL IMMUNOPHENOTYPING
EosinoEpRatio	NASAL CELL IMMUNOPHENOTYPING
NeutroEpRatio	NASAL CELL IMMUNOPHENOTYPING
TEpRatio	NASAL CELL IMMUNOPHENOTYPING
DNTEpRatio	NASAL CELL IMMUNOPHENOTYPING
CD4TEpRatio	NASAL CELL IMMUNOPHENOTYPING
CD8TEpRatio	NASAL CELL IMMUNOPHENOTYPING
MAITEpRatio	NASAL CELL IMMUNOPHENOTYPING
MonoEpRatio	NASAL CELL IMMUNOPHENOTYPING
LinNegCD4NegDRPosEpRatio	NASAL CELL IMMUNOPHENOTYPING
LinNegCD4PosDRPosEpRatio	NASAL CELL IMMUNOPHENOTYPING
CD66bHiPercOfNeutro	NASAL CELL IMMUNOPHENOTYPING
CD66bLoCD16LoNeutro	NASAL CELL IMMUNOPHENOTYPING
